"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13350","764.85","772.1","764.85","771.7","771.7","825","3","31.77","1.73","4425","75","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13400","727.25","749.55","725","733.65","736.1","733.65","121","1282.8","66.75","121425","-2025","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13450","685.65","702.15","685.65","702.15","702.15","702.15","5","53.03","2.59","5325","225","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13500","652","667","641.15","654.25","649.05","654.25","1320","14015.67","650.67","945750","-27750","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13550","611.25","630","611.25","625.85","625.85","678.3","11","116.9","5.11","3975","0","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13600","577.5","589.75","565.05","578.25","576","578.25","382","4062.4","166","196050","-6825","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13650","538.95","548","536.65","541.25","541.25","610.6","19","202.23","7.72","11400","1050","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13700","499.4","516.55","495","503.6","498.35","503.6","867","9238.41","329.98","259800","9900","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13750","474.05","481","460.5","466.5","471.75","466.5","38","405.31","13.43","13275","975","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13800","425.05","448","424.45","433.9","430.45","433.9","3143","33565.83","1035.78","431250","-74025","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13850","405.95","415","390.05","398.7","400.4","398.7","130","1389.99","39.62","18675","900","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13900","370.2","383.95","361.05","369.55","368","369.55","3185","34100.6","896.98","1002225","-4275","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","13950","349.6","352.95","329.05","335.7","341.8","335.7","305","3269.58","78.52","28275","-8175","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14000","310","322.45","300","307.75","304","307.75","23172","248746.33","5440.33","2102700","240300","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14050","293.95","294.9","273","280.3","280.75","280.3","1587","17062.09","339.08","52875","27675","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14100","260","268.65","246.6","253.35","249.35","253.35","7662","82515.19","1489.54","509175","77175","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14150","239.45","242.65","220","230.1","220","230.1","248","2675.49","43.59","10425","3600","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14200","211.9","219.9","200","206.7","202.25","206.7","9366","101222.32","1474.42","665400","180525","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14250","198.1","199.35","178.65","182.25","181.15","182.25","190","2057.31","26.68","10950","3900","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14300","170.45","178.3","156.3","162.7","159.9","162.7","6216","67446.35","779.75","404175","59175","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14350","153.55","157.75","139.8","142.9","145","142.9","373","4056.13","41.72","16050","5400","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14400","140.35","142.25","122","126.2","124.8","126.2","6341","69106.15","623.35","378225","43725","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14450","125.5","125.5","107.25","112.4","109.65","112.4","564","6160.12","47.77","26925","19875","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14500","107.85","111.4","92.05","95.5","94.25","95.5","21230","232458.06","1581.81","1213950","150000","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14550","88.9","90.2","82.3","86.9","82.3","86.9","197","2162.6","12.84","9600","9600","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14600","81.95","87.3","67.75","71.4","69.25","71.4","6373","70139.95","355.6","300075","78750","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14650","80.2","80.2","53","60.05","53","60.05","81","893.88","3.89","3450","1950","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14700","65","65.85","48","51.55","49.85","51.55","7525","83271","307.88","523800","122475","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14750","59.75","60","40.4","43.7","40.55","43.7","1299","14414.82","44.63","33750","7575","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14800","50.35","50.35","33.8","37.05","36.5","37.05","8454","94090.58","251.18","646125","90225","14018.5"
"NIFTY","01-Jan-2021","28-Jan-2021","CE","14850","46.1","50","28","31.05","28.05","31.05","614","6854.91","16.49","18075","13650","14018.5"
