"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","11550","0","0","0","178.8","0","7.7","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","11600","4.25","6.15","4","4.3","4.15","4.3","2702","23516.49","9.09","176700","24150","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","11650","6.9","6.9","6.9","6.9","6.9","6.9","1","8.74",".01","75","75","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","11700","4.15","4.5","3","3.25","3","3.25","1743","15299.36","4.54","113850","-675","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","11750","0","0","0","131.45","0","2.1","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","11800","3.5","3.75","2.3","2.65","2.6","2.65","3447","30513.79","7.84","80250","-16725","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","11850","0","0","0","111.9","0","1","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","11900","3.2","3.3","2.3","2.5","2.4","2.5","518","4624.34","1.19","28500","17550","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","11950","0","0","0","94.75","0","0.5","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12000","2.45","3.15","2.3","2.5","2.3","2.5","7195","64770.07","15.07","647025","233475","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12050","0","0","0","79.9","0","0.2","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12100","1.6","2.9","1.6","2.45","2.9","2.45","5","45.38",".01","12225","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12150","0","0","0","67.05","0","0.1","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12200","1.3","1.3","1.15","1.15","1.15","1.15","102","933.4",".1","23025","-450","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12250","0","0","0","19.95","19.95","0.05","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12300","0","0","0","1.5","1.5","0.05","0","0","0","3150","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12350","0","0","0","7.4","7.4","0.05","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12400","1","1.1","0.9","1","0.9","1","116","1078.89",".09","36600","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12450","0","0","0","7.85","0","0","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12500","1.15","1.15","0.95","1.05","1","1.05","429","4022.23",".35","179325","450","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12550","0","0","0","3.65","0","0","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12600","0","0","0","198.75","0","0","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12700","0","0","0","11.4","11.4","0","0","0","0","75","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12800","0","0","0","207.95","0","0","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","12900","0","0","0","1.05","1.05","0","0","0","0","1650","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","13000","1.35","1.4","0.85","1","1","1","223","2174.43",".18","132750","1050","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","13100","0","0","0","80.35","0","0","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","13200","0","0","0","58.4","0","0","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","13300","0","0","0","1.5","0.35","0","0","0","0","75","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","13400","0","0","0","3","3","0","0","0","0","150","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","13500","0","0","0","0.5","0.5","0","0","0","0","3975","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","13600","0","0","0","3","3","0","0","0","0","75","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","13700","0","0","0","2","2","0","0","0","0","75","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","13800","0","0","0","3","3","0","0","0","0","75","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","13900","0","0","0","19.85","0","0","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","14000","1","1.2","0.75","1.1","0.9","1.1","379","3979.78",".28","126225","-5100","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","14100","1","1","1","1","1","1","1","10.58","0","1800","-75","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","7600","3268","3293","3268","3277.55","3280.1","3277.55","22","179.5","54.1","10050","1500","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","7700","0","0","0","2970.55","0","3203.25","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","7800","0","0","0","2879.65","0","3103.75","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","7900","0","0","0","2789.15","0","3004.25","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","8000","2883.75","2900.95","2857.35","2893.15","2899","2893.15","410","3345.71","885.71","578625","-15300","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","8100","0","0","0","2609.7","0","2805.3","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","8200","0","0","0","2520.85","0","2705.8","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","8300","0","0","0","2432.65","0","2606.35","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","8400","0","0","0","2345.25","0","2506.85","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","8500","2396","2396","2383.45","2389.75","2389.75","2389.75","3","24.5","5.38","539400","-150","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","8600","2285.1","2285.1","2285.1","2285.1","2285.1","2285.1","1","8.16","1.71","997650","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","8700","2185.1","2185.1","2185.1","2185.1","2185.1","2185.1","1","8.16","1.64","717075","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","8800","0","0","0","2005","0","2108.9","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","8900","0","0","0","1922.75","0","2009.4","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","9000","1875","1909","1858.95","1894.7","1892","1894.7","329","2685.17","464.42","887250","17175","-"
"NIFTY","01-Mar-2019","28-Mar-2019","CE","9100","0","0","0","1732.15","1736.45","1810.45","0","0","0","675","0","-"
