"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","11550","0","0","0","736.15","0","634.65","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","11600","707.65","716.65","668.15","678.9","681.1","678.9","155","1428.35","79.85","40950","225","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","11650","0","0","0","809.6","0","730.5","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","11700","790","819.05","770","775.7","775","775.7","61","571.21","35.94","8700","-1950","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","11750","0","0","0","885.15","0","828","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","11800","885","905.6","880","880","880","880","16","152.24","10.64","2850","75","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","11850","0","0","0","963.75","0","926.4","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","11900","985","990","966.8","966.8","966.8","966.8","4","38.65","2.95","10125","225","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","11950","0","0","0","1044.75","0","1025.35","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","12000","1100","1112","1060.15","1072.85","1074.7","1072.85","152","1491.9","123.9","481050","-2775","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","12050","0","0","0","1128.05","0","1124.6","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","12100","0","0","0","1228.2","1224","1174.25","0","0","0","11475","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","12150","0","0","0","1213.35","0","1223.95","0","0","0","0","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","12200","0","0","0","1300","1300","1273.65","0","0","0","26925","0","-"
"NIFTY","01-Mar-2019","28-Mar-2019","PE","12250","0","0","0","1300.45","0","1323.4","0","0","0","0","0","-"
