"Symbol","Date","Expiry","Option Type","Strike Price","Open","High","Low","Close","LTP","Settle Price","No. of contracts","Turnover in Lacs","Premium Turnover in Lacs","Open Int","Change in OI","Underlying Value"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","11750","0","0","0","1392.9","0","790.85","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","11800","915.9","930.6","822.3","829","822.3","829","20","190.36","13.36","6450","450","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","11850","0","0","0","1368.1","0","883.9","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","11900","1012.55","1017.65","1002.9","1002.9","1002.9","1002.9","8","77.46","6.06","32400","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","11950","0","0","0","1314.35","0","978.85","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","12000","1073.35","1137","1021.4","1026.8","1026.25","1026.8","446","4377.34","363.34","810600","-2175","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","12050","0","0","0","1396.8","0","1075.2","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","12100","0","0","0","1268.95","1268.95","1123.8","0","0","0","21450","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","12150","0","0","0","1329.4","0","1172.55","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","12200","1302.2","1305.45","1302.2","1305.45","1305.45","1305.45","2","20.26","1.96","33600","-75","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","12250","0","0","0","1345.55","0","1270.65","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","12300","0","0","0","1469","1469","1319.85","0","0","0","7200","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","12350","0","0","0","1355.5","0","1369.2","0","0","0","0","0","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","12400","1470","1532.8","1421.1","1429.5","1423.65","1429.5","1313","13666.51","1455.61","578025","-53850","10910.1"
"NIFTY","01-Jan-2019","31-Jan-2019","PE","12450","1466.9","1466.9","1464.6","1465.85","1464.6","1465.85","52","542.72","57.17","6975","3900","10910.1"
